Title,Authors,Journal,Year,Drug Discovery Status,Primary Target,AlphaFold Use Score,AlphaFold Use Evidence,PMID,DOI,PubMed URL,Publication Type,Keywords/MeSH,Abstract
"Structural Insight Into the Conversion of DhNik1, A Hybrid Histidine Kinase From Debaryomyces hansenii to a Cytotoxic Phosphatase Conformation for Novel Antifungal Agent.",Sasan Soorya Partap; Martoliya Yogita; Vashishtha Shubham; Kaur Harbinder; Kundu Debasree; Gourinath Samudrala; Lynn Andrew; Prasad Rajendra; Kundu Bishwajit; Mondal Alok Kumar,Journal of molecular biology,2025,Preclinical (In Vivo),,4,structure from AF; explicit AF usage stated; AF2/AF3/Multimer mentioned,40174667,10.1016/j.jmb.2025.169116,https://pubmed.ncbi.nlm.nih.gov/40174667/,Journal Article,"HOG pathway; antifungal drug; elbasvir; histidine kinase to phosphatase conversion; hybrid histidine kinase; Histidine Kinase; Antifungal Agents; Phosphoric Monoester Hydrolases; Fungal Proteins; Protein Conformation; Models, Molecular; Saccharomycetales; Molecular Dynamics Simulation","Group III hybrid histidine kinase (HHK3) is one of the most interesting signalling molecules and a novel drug target in fungi. HHK3 is converted into a cytotoxic phosphatase form in vivo by the action of a widely used agricultural fungicide indicating that HHK3 also exhibits dual functionality by acting as kinases and phosphatases towards their substrates like many bacterial sensor histidine kinases. However, this cytotoxic form of HHK3 remained elusive for further scientific exploitation. In this study, we have isolated a cytotoxic phosphatase LOCK-IN mutant of DhNik1, a prototype HHK3, and provided structural and functional insight into this form for the first time. The mutant DhNik1CT had an in-frame deletion in the poly-HAMP domain. The fusion of the poly-HAMP domain of DhNik1CT with the histidine kinase and receiver domain of another fungal hybrid histidine kinase also created a hybrid that was cytotoxic to the fungal cell. We generated the structural model of wild-type DhNik1 and DhNik1CT using AlphaFold multimer which highlighted the differences in HAMP domain arrangement and conformation between DhNik1 and DhNik1CT. MD simulation of the modelled structure revealed crucial role of ATP lid opening and closing in regulating the activity of DhNik1 and DhNik1CT. The structure of DhNik1CT was used for virtual screening to identify a small molecule which modulates the activity of DhNik1 towards cytotoxicity. Taken together, present study shows that the conversion of HHK3 to a toxic conformation by a small molecule is a feasible approach for discovering novel antifungal drug."
Non-Steroidal Anti-Inflammatory Drugs Are Inhibitors of the Intestinal Proton-Coupled Amino Acid Transporter (PAT1): Ibuprofen and Diclofenac Are Non-Translocated Inhibitors.,Nielsen Carsten Uhd; Jakobsen Sebastian; Pedersen Maria L,Pharmaceutics,2025,Preclinical (In Vivo),GABA,7,AF used for structure prediction; AF structure used for docking/screening; explicit AF usage stated; AF2/AF3/Multimer mentioned,39861697,10.3390/pharmaceutics17010049,https://pubmed.ncbi.nlm.nih.gov/39861697/,Journal Article,AlphaFold; Caco-2; NSAIDs; TEVC; hPAT1; human proton-coupled amino acid transporter; ibuprofen; inhibitor; molecular modeling,"Background/Objectives: The proton-coupled amino acid transporter (PAT1) is an intestinal absorptive solute carrier responsible for the oral bioavailability of some GABA-mimetic drug substances such as vigabatrin and gaboxadol. In the present work, we investigate if non-steroidal anti-inflammatory drug substances (NSAIDs) interact with substrate transport via human (h)PAT1. Methods: The transport of substrates via hPAT1 was investigated in Caco-2 cells using radiolabeled substrate uptake and in X. laevis oocytes injected with hPAT1 cRNA, measuring induced currents using the two-electrode voltage clamp technique. The molecular interaction between NSAIDs and hPAT1 was investigated using an AlphaFold2 model and molecular docking. Results: NSAIDs such as ibuprofen, diclofenac, and flurbiprofen inhibited proline uptake via hPAT1, with IC50 values of 954 (logIC50 2.98 ± 0.1) µM, 272 (logIC50 2.43 ± 0.1) µM, and 280 (logIC50 2.45 ± 0.1) µM, respectively. Ibuprofen acted as a non-competitive inhibitor of hPAT1-mediated proline transport. In hPAT1-expressing oocytes, ibuprofen and diclofenac did not induce inward currents, and inhibited inward currents caused by proline. Molecular modeling pointed to a binding mode involving an allosteric site. Conclusions: NSAIDs interact with hPAT1 as non-translocated non-competitive inhibitors, and molecular modeling points to a binding mode involving an allosteric site distinct from the substrate binding site. The present findings could be used as a starting point for developing specific hPAT1 inhibitors."
Inhibition of RPA32 and Cytotoxic Effects of the Carnivorous Plant Sarracenia purpurea Root Extract in Non-Small-Cell Lung Cancer Cells.,Chang Kuo-Ting; Chen Yu-Cheng; Lien Yi; Huang Yen-Hua; Huang Cheng-Yang,"Plants (Basel, Switzerland)",2025,In Vitro (Cell-Based),EGFR,5,AF used for structure prediction; AF structure used for docking/screening; synthesis reported,40430991,10.3390/plants14101426,https://pubmed.ncbi.nlm.nih.gov/40430991/,Journal Article,AlphaFold; H1975; NSCLC; RPA; Sarracenia purpurea; anticancer; betulinaldehyde; ssDNA binding; ursolic acid; α-amyrin,"The carnivorous plant Sarracenia purpurea has been traditionally used in various ethnobotanical applications, including treatments for type 2 diabetes and tuberculosis-like symptoms. This study investigates the cytotoxic effects of S. purpurea root extract (Sp-R) on human non-small-cell lung cancer (NSCLC) cell lines, including H1975, H838, and A549, focusing on its impact on cell survival, apoptosis, proliferation, and migration. Additionally, its ability to inhibit the single-stranded DNA-binding activity of human RPA32 (huRPA32), a key protein in DNA replication, was evaluated. Extracts from different plant parts (leaf, stem, and root) were prepared using various solvents (water, methanol, ethanol, and acetone) and screened for apoptosis-inducing potential using the chromatin condensation assay. Among these, the acetone-extracted root fraction (Sp-R-A) exhibited the most potent pro-apoptotic effects. The MTT assay demonstrated a dose-dependent cytotoxic effect on NSCLC cells, with IC50 values of 33.74 μg/mL for H1975, 60.79 μg/mL for H838, and 66.52 μg/mL for A549. Migration and clonogenic assays further revealed that Sp-R-A significantly inhibited cancer cell migration and colony formation in a dose-dependent manner. Moreover, Sp-R-A enhanced apoptosis when combined with the EGFR inhibitor afatinib, suggesting a potential synergistic effect. The electrophoretic mobility shift assay confirmed that Sp-R-A significantly inhibited the DNA-binding activity of huRPA32, with an IC50 of 13.6 μg/mL. AlphaFold structural prediction and molecular docking studies indicated that major bioactive compounds in S. purpurea, including α-amyrin, ursolic acid, and betulinaldehyde, strongly interact with the DNA-binding domain of huRPA32, potentially contributing to its inhibitory effect. Overall, these findings suggest that huRPA32 is a potential molecular target of Sp-R-A and the anticancer potential of S. purpurea root extract against NSCLC is highlighted, supporting further investigation into its therapeutic applications."
Discovery and functional characterization of archaeal efflux transporters.,Thompson Thomas P; Fakhoury Asma A; Rahman Khondaker Miraz; Gilmore Brendan F,Methods in enzymology,2025,In Vitro (Biochemical),,6,AF structure used for docking/screening; explicit AF usage stated; AF2/AF3/Multimer mentioned; synthesis reported,41309173,10.1016/bs.mie.2025.09.014,https://pubmed.ncbi.nlm.nih.gov/41309173/,Journal Article,"AlphaFold structural modeling; Antimicrobial resistance; Archaea; Efflux pump inhibitors; Halorubrum amylolyticum; Heterologous expression; Hoechst 33342 assay; MATE transporter; Multidrug efflux pump; Archaeal Proteins; Escherichia coli; Phylogeny; Membrane Transport Proteins; Cloning, Molecular; Anti-Bacterial Agents; Archaea","Multidrug efflux transporters are critical contributors to antimicrobial resistance. This chapter details methodologies for identifying and functionally characterizing efflux pumps in halophilic archaea, expanding upon recent work that provided the first experimental evidence of active antibiotic efflux in an archaeon. Using Halorubrum amylolyticum CSM52 as a model, we describe genomic identification of putative efflux pump genes via whole-genome sequencing and RAST annotation, followed by phylogenetic analyses and comparative genomics to establish evolutionary context. We then outline functional assays in the native archaeal strain, including a fluorescence-based Hoechst 33342 accumulation assay to detect active efflux and antibiotic susceptibility testing in the presence of efflux pump inhibitors (EPIs) to reveal efflux-mediated resistance. To overcome challenges of manipulating extremophiles, we detail cloning of archaeal MATE (Multidrug and Toxin Extrusion) transporter genes into Escherichia coli and heterologous expression under inducible conditions, enabling characterization of pump activity in a model bacterial system. Fluorometric efflux assays in these E. coli clones confirmed transporter function and inhibitor specificity. We also describe integrative structural approaches: homology modeling of the archaeal MATE pumps (using YASARA and AlphaFold3) and molecular docking of substrates and inhibitors to elucidate mechanistic interactions. The relevance of archaeal efflux pumps to antimicrobial resistance (AMR) is discussed, including their potential to harbor and disseminate novel resistance determinants. Finally, we address the interpretation and limitations of using heterologous systems. This comprehensive methodological framework provides a roadmap for exploring efflux-mediated drug resistance in archaea, an emerging and important aspect of AMR research."
Combining AlphaFold with Focused Virtual Library Design in the Development of Novel CCR2 and CCR5 Antagonists.,Essa Khaled; Noorman van der Dussen Kian; Yao Yao; Bleijs Bente; Ortiz Zacarias Natalia V; Heitman Laura H; van Westen Gerard J P; Jespers Willem; van der Es Daan; Šícho Martin,Journal of chemical information and modeling,2025,In Vitro (Biochemical),,6,AF used for structure prediction; explicit AF usage stated; activity data reported; synthesis reported,41223357,10.1021/acs.jcim.5c01596,https://pubmed.ncbi.nlm.nih.gov/41223357/,Journal Article,"Receptors, CCR2; Molecular Docking Simulation; Receptors, CCR5; Humans; Small Molecule Libraries; Drug Design; CCR5 Receptor Antagonists; Ligands","CC chemokine receptor (CCR) 2 and 5 are G protein-coupled receptors that play a crucial role in immunohomeostasis. Accordingly, overactivation of their signaling pathways is involved in various immunopathologies and cancer. Extensive research focusing on discovering CCR2 and CCR5 orthosteric antagonists, ultimately resulted in some clinical success, but the area of intracellular allosteric modulators is still underexplored and the move from orthosteric to allosteric modulation could be an interesting paradigm shift. To this end, we document the development of novel CCR2 and CCR5 intracellular allosteric antagonists through a virtual screen on a small combinatorial library derived from existing CCR2, CCR5, and CCR4 ligands. Using a molecular docking approach, the created library was screened in its entirety utilizing a refined AlphaFold model of CCR5 based on the crystal structure of its close homologue, CCR2. The screening resulted in the identification of several virtual hits, out of which one was developed further by in-house synthesis. In total, 18 analogues were prepared and experimentally evaluated for their binding affinity for CCR2 and functional inhibition on CCR5. This expeditious and simple workflow beginning from docking to compound evaluation identified 3 hits for CCR2 (Ki = 1.3-6 μM) and 1 hit (IC50 = 10.8 μM) for CCR5. The obtained structure-activity relationships were also further rationalized using structural information available for both CCR5 and CCR2 providing valuable insights for future development of intracellular allosteric ligands."
AlphaFold-Guided Semi-Rational Engineering of an (R)-Amine Transaminase for Green Synthesis of Chiral Amines.,Yang Xiaole; Tian Xia; Tang Ruizhou; Li Jiahuan; Zhang Xuning; Li Tingting,Biomolecules,2025,In Vitro (Biochemical),,4,explicit AF usage stated; AF2/AF3/Multimer mentioned; synthesis reported,41154664,10.3390/biom15101435,https://pubmed.ncbi.nlm.nih.gov/41154664/,"Journal Article; Research Support, Non-U.S. Gov't",AI-assisted protein engineering; amine transaminase; biocatalysis; chiral amines; Transaminases; Amines; Protein Engineering; Stereoisomerism; Molecular Docking Simulation; Substrate Specificity; Mycobacterium; Green Chemistry Technology,"Chiral amines are vital structural motifs in pharmaceuticals and agrochemicals, where enantiomeric purity governs bioactivity and environmental behavior. We identified a novel (R)-selective amine transaminase (MwoAT) from Mycobacterium sp. via genome mining, which exhibits activity toward the synthesis of the chiral amine (R)-1-methyl-3-phenylpropylamine. The enzyme displayed optimal activity at pH 7.0 and 40 °C, with high thermostability and solvent tolerance. Using an AlphaFold3-guided semi-rational engineering strategy integrating molecular docking, alanine scanning, and saturation mutagenesis, residue L175 was pinpointed as critical for substrate binding. The resulting L175G variant exhibited a 2.1-fold increase in catalytic efficiency (kcat/Km) and improved thermal stability. Applied to the asymmetric synthesis of (R)-1-methyl-3-phenylpropylamine-a precursor for the antihypertensive drug dilevalol and potential scaffold for crop protection agents-the mutant achieved 26.4% conversion with ≥99.9% ee. The enzyme also accepted several ketones relevant to agrochemical synthesis, underscoring its versatility. This work delivers an engineered biocatalyst for sustainable chiral amine production and demonstrates an AI-assisted protein engineering framework applicable to both medicinal and agricultural chemistry."
PRosettaC outperforms AlphaFold3 for modeling PROTAC ternary complexes.,Schulz Joseph M; Schürer Sarah I; Reynolds Robert C; Schürer Stephan C,Scientific reports,2025,In Vitro (Biochemical),,4,AF used for structure prediction; structure from AF; AF2/AF3/Multimer mentioned,41152377,10.1038/s41598-025-21502-8,https://pubmed.ncbi.nlm.nih.gov/41152377/,Journal Article,"AlphaFold; Computational modeling; PROTACs; PRosettaC; Protein modeling; Structure-based-drug-design; Molecular Dynamics Simulation; Proteolysis; Humans; Protein Conformation; Software; Models, Molecular; Protein Binding; Crystallography, X-Ray","Targeted protein degradation via PROTACs offers a promising therapeutic strategy, yet accurate modeling of ternary complexes remains a critical challenge in degrader design. In this study, we systematically benchmark two leading structure prediction tools, AlphaFold-3 and PRosettaC, against a curated dataset of 36 crystallographically resolved ternary complexes. Using DockQ as a quantitative interface scoring metric, we assess the structural fidelity of predicted complexes under both scaffold-inclusive and stripped configurations. Our results demonstrate that AlphaFold-3's performance is often inflated by accessory proteins such as Elongin B/C or DDB1, which contribute to overall interface area but not degrader-specific binding. PRosettaC, on the other hand, leverages chemically defined anchor points to yield more geometrically accurate models in select systems, though it frequently fails when linker sampling is insufficient or misaligned. To overcome the limitations of static benchmarking, we introduce a dynamic evaluation strategy using molecular dynamics simulations of the crystal structures. This frame-resolved analysis reveals that several PRosettaC models, while poorly aligned to the static crystal conformation, transiently achieve high DockQ alignment with specific frames along the MD trajectory. These findings underscore the importance of incorporating protein flexibility into benchmarking workflows and suggest that transient conformational compatibility may be overlooked in conventional evaluations. By combining constraint-based modeling with dynamic frame matching, this study provides a more nuanced framework for assessing ternary complex predictions and informs the selection of in silico tools for rational PROTAC development."
CASTER-DTA: equivariant graph neural networks for predicting drug-target affinity.,Kumar Rachit; Romano Joseph D; Ritchie Marylyn D,Briefings in bioinformatics,2025,In Vitro (Biochemical),,3,AF used for structure prediction; structure from AF,41139314,10.1093/bib/bbaf554,https://pubmed.ncbi.nlm.nih.gov/41139314/,Journal Article,"deep learning; graph neural networks; protein representation learning; structural biology; Neural Networks, Computer; Humans; Proteins; Ligands; Protein Binding; Drug Design; Software; Computational Biology; Graph Neural Networks","Accurately determining the binding affinity of a ligand with a protein is important for drug design, development, and screening. With the advent of accessible protein structure prediction methods such as AlphaFold, predicted protein 3D structures are readily available; however, scalable methods for predicting binding affinity currently do not take full advantage of 3D protein information. Here, we present CASTER-DTA (Cross-Attention with Structural Target Equivariant Representations for Drug-Target Affinity), which uses an equivariant graph neural network (GNN) to learn more robust protein representations alongside a standard GNN to learn molecular representations to predict DTA. We augment these representations by incorporating an attention-based mechanism between protein residues and drug atoms to improve interpretability. We show that CASTER-DTA represents a state-of-the-art improvement on multiple benchmarks for predicting DTA, and that it generates novel insights for several related tasks. We then apply CASTER-DTA to create a large resource of the binding affinities of every drug approved by the U.S. Food and Drug Administration (FDA) against every protein in the human proteome and make these predictions freely available for download. We also make available a web server for researchers to apply a pretrained CASTER-DTA model for predicting binding affinities between arbitrary proteins and drugs."
Conformational Dynamics of the Active Site Loop in Dihydroorotase Highlighting the Limitations of Loop-In Structures for Inhibitor Docking.,Huang Yen-Hua; Huang Tsai-Ying; Wang Man-Cheng; Huang Cheng-Yang,International journal of molecular sciences,2025,In Vitro (Biochemical),,5,AF used for structure prediction; structure from AF; AF2/AF3/Multimer mentioned; synthesis reported,41096952,10.3390/ijms26199688,https://pubmed.ncbi.nlm.nih.gov/41096952/,Journal Article,5-fluoroorotate; active site loop; conformational dynamics; dihydroorotase; docking; myricetin; Catalytic Domain; Molecular Docking Simulation; Dihydroorotase; Saccharomyces cerevisiae; Enzyme Inhibitors; Flavonoids; Orotic Acid; Protein Conformation; Ligands; Protein Binding; Saccharomyces cerevisiae Proteins,"Dihydroorotase (DHOase) catalyzes the reversible cyclization of N-carbamoyl-L-aspartate to dihydroorotate, a key step in de novo pyrimidine biosynthesis. A flexible active site loop in DHOase undergoes conformational switching between loop-in and loop-out states, influencing substrate binding, catalysis, and inhibitor recognition. In this study, we identified 5-fluoroorotate (5-FOA) and myricetin as inhibitors of Saccharomyces cerevisiae DHOase and systematically analyzed 97 crystal structures and AlphaFold 3.0 models of DHOases from 16 species representing types I, II, and III. Our results demonstrate that loop conformation is not universally ligand-dependent and varies markedly across DHOase types, with type II enzymes showing the greatest flexibility. Notably, S. cerevisiae DHOase consistently adopted the loop-in state, even with non-substrate ligands, restricting accessibility for docking-based inhibitor screening. Docking experiments with 5-FOA and myricetin confirmed that the loop-in conformation prevented productive active-site docking. These findings highlight the importance of selecting appropriate loop conformations for structure-based drug design and underscore the need to account for loop dynamics in inhibitor screening."
In silico identification of anticancer flavonoids as dengue virus replication inhibitors: a molecular docking and simulation approach.,Patra Soumendu; Paul Arindam; Shand Harshita; Ghosal Sayan; Ghorai Suvankar,Journal of molecular modeling,2025,In Vitro (Biochemical),helicase,7,AF used for structure prediction; structure from AF; explicit AF usage stated; AF2/AF3/Multimer mentioned; activity data reported,41045314,10.1007/s00894-025-06516-3,https://pubmed.ncbi.nlm.nih.gov/41045314/,Journal Article,ADMET; Dengue; Flavonoid inhibitor; Molecular docking; Molecular simulation; NS3-helicase; NS5 RdRp; Molecular Docking Simulation; Dengue Virus; Molecular Dynamics Simulation; Antiviral Agents; Viral Nonstructural Proteins; Flavonoids; Virus Replication; Antineoplastic Agents; Humans; Protein Binding,"CONTEXT: Dengue, a mosquito-borne viral disease endemic to over 100 countries, poses a serious health risk to people living in tropical regions. The viral non-structural proteins NS3 (helicase) and NS5 (RNA-dependent RNA polymerase) are critical targets for antiviral drug development. Several natural and synthetic compounds have been tried against this for the screening of antiviral inhibitor(s) but so far limited success has been achieved. In this study, we have investigated how natural products interact with and destabilize NS3 and NS5. We used in silico methods to screen new potential NS3 and NS5 inhibitors from various anti-cancer flavonoid compounds that previously showed anti-cancer properties in vitro. A virtual screening was conducted on 329 anti-cancer flavonoid compounds, selecting 190 compounds based on Lipinski's rule of five, the Muegge filter, the Ghose filter, and the Veber filter. Molecular docking techniques allowed us to identify Artobiloxanthone (PubChem CID: 46887866) as the most effective binder for NS3, while Glabridin (PubChem CID: 124052) emerged as the most effective binder for NS5. These leading candidates demonstrated favorable ADMET profiles. Additionally, molecular dynamics (MD) simulations of up to 1000-ns showcased stable protein-ligand interactions, with convergence achieved at 200 ns for NS3 and 470 ns for NS5. The structural stability of the complexes was validated by analyzing root mean square deviation (RMSD), root mean square fluctuation (RMSF), radius of gyration (Rg), solvent-accessible surface area (SASA), and hydrogen bonding (H-bonding). Binding affinity between the ligand and target proteins was further validated by binding free energy calculations using the Molecular Mechanics Poisson-Boltzmann Surface Area (MM-PBSA) approach, providing a robust estimation of interaction stability. These findings highlight the potential of Artobiloxanthone and Glabridin as promising inhibitors of dengue virus replication. METHODS: The Chimera v1.11.2 program was employed for protein optimization, while PyRx 0.8 served for molecular docking. Protein structures were converted into.pdbqt format, and ligands were energy-minimized using the MMFF94 force field and conjugate gradient optimization. Visualization was conducted using BIOVIA Discovery Studio Visualizer and PyMOL. The ADMET properties of the top hits were predicted using the pkCSM and ProTox-II platforms. To address missing residues in the crystal structures, AlphaFold2 was used to predict full-length protein models. MD simulations were performed with the GROMACS 2024.5 package, utilizing the AMBER-f99SB-ILDN force field, the TIP3P water model, and a 120 mM NaCl concentration. Equilibration was achieved through V-rescale and C-rescale thermostats, followed by Parrinello-Rahman barostat production runs. Analysis of the MD trajectories included RMSD, RMSF, Rg, SASA, H-bonding, and MM-PBSA utilizing GROMACS tools, gmx_MMPBSA, VMD, and MDAnalysis."
Insight into the PmrB structures of colistin-resistant Gram-negative bacteria through the multi-template ligand-guided homology modeling and in silico mutagenesis.,Anuwongcharoen Nuttapat; Phanus-Umporn Chuleeporn; Chatupheeraphat Chawalit; Weakwiweak Kamonlak; Kaewsai Noramon; Eiamphungporn Warawan,PeerJ,2025,In Vitro (Biochemical),,6,AF used for structure prediction; structure from AF; docking on AF structure; explicit AF usage stated,40936770,10.7717/peerj.19945,https://pubmed.ncbi.nlm.nih.gov/40936770/,Journal Article,"Colistin resistance; Homology modeling; Molecular docking; Molecular dynamics; PmrB; Structure-based drug design; Colistin; Bacterial Proteins; Gram-Negative Bacteria; Molecular Docking Simulation; Drug Resistance, Bacterial; Anti-Bacterial Agents; Molecular Dynamics Simulation; Ligands; Binding Sites; Klebsiella pneumoniae; Acinetobacter baumannii; Transcription Factors; Escherichia coli; Mutagenesis","The increasing prevalence of colistin-resistant Gram-negative bacteria necessitates the development of novel therapeutic strategies. PmrB, a histidine kinase involved in colistin resistance, represents a promising drug target. However, the absence of experimentally resolved PmrB structures limits structure-based drug design efforts. This study employed a multi-template, ligand-guided homology modeling approach to construct full-length PmrB models for four pathogens: Acinetobacter baumannii, Escherichia coli, Klebsiella pneumoniae, and Pseudomonas aeruginosa. The resulting models demonstrated high structural integrity, with over 95% of residues located in favored regions and QMEANDisCo global scores ranging from 0.55 to 0.57. Molecular docking simulations guided the selection of representative ligand-bound states for adenosine triphosphate (ATP)-binding site prediction and yielded superior docking scores compared to models generated by AlphaFold, I-TASSER, and SWISS-MODEL. Molecular dynamics (MD) simulations and Molecular Mechanics Generalized Born Surface Area (MM/GBSA) analysis confirmed the stability and binding affinity of the PmrB-ATP complexes, with ΔG values ranging from -27.72 to -47.71 kcal/mol. In silico mutagenesis revealed that the T246A and L344P mutations in K. pneumoniae enhanced ATP binding affinity and protein stability, potentially contributing to colistin resistance. Analysis of the PmrB-ATP complexes identified both conserved and species-specific interactions. This research provides valuable structural models and mechanistic insights into PmrB, supporting future structure-based drug design and the development of novel interventions against colistin-resistant infections."
"Integrating single-cell transcriptomics, molecular docking, and dynamics simulations to characterize protein kinase X-linked mechanisms in osteosarcoma.",Zhang Zongye; Sha Zhi; Liu Zhendong; Cheng Xingbo; Hou Zhenxing; Wang Dongdong; Zhang Zhichang; Gao Yanzheng,International journal of biological macromolecules,2025,In Vitro (Biochemical),PRKX-CDC37,5,AF used for structure prediction; AF structure used for docking/screening; synthesis reported,40907924,10.1016/j.ijbiomac.2025.147335,https://pubmed.ncbi.nlm.nih.gov/40907924/,Journal Article,"Molecular dynamics; PRKX; scRNA-seq; Humans; Osteosarcoma; Molecular Docking Simulation; Molecular Dynamics Simulation; Single-Cell Analysis; Cell Line, Tumor; Cell Cycle Proteins; Transcriptome; Gene Expression Regulation, Neoplastic; Protein Binding; Gene Expression Profiling","BACKGROUND: Osteosarcoma (OS) progression is linked to kinase allostery dysregulation, but PRKX's allosteric role remains unknown. We aimed to decode PRKX's activation mechanism and assess its clinical potential as a biomarker and therapeutic target. METHODS: Differential expression analysis confirmed PRKX's oncogenic role. Using single-cell RNA-seq (GSE152048) with spatiotemporal trajectory analysis, we delineated PRKX-CDC37 interactions. PRKX-knockdown via siRNA suppressed proliferation, invasion, and colony formation in vitro. Based on the AlphaFold-predicted PRKX-CDC37 complex, we performed molecular docking followed by explicit-solvent 100-ns MD simulations to evaluate inhibitor binding. RESULTS: Multi-omics revealed PRKX-CDC37 spatiotemporal co-expression driving early TME differentiation. Ergotamine (ΔG = -11.6 kcal/mol) competitively bound PRKX's catalytic pocket via a tripartite H-bond network centered on HIS161. MD simulations demonstrated ≥95 % occupancy H-bonds and 28.6 % SASA reduction, confirming ergotamine as the lead PRKX-CDC37 inhibitor with nanomolar-scale affinity. CONCLUSION: PRKX drives OS via a CDC37-mediated allosteric pathway, with Pocket-3 (HIS161) as a therapeutic target. Ergotamine validates PRKX-CDC37 inhibition, providing a framework for anti-OS drug design."
Leveraging AlphaFold2 structural space exploration for generating drug target structures in structure-based virtual screening.,Uchikawa Keisuke; Furui Kairi; Ohue Masahito,Biochemistry and biophysics reports,2025,In Vitro (Biochemical),,4,AF used for structure prediction; structure from AF; AF2/AF3/Multimer mentioned,40688505,10.1016/j.bbrep.2025.102110,https://pubmed.ncbi.nlm.nih.gov/40688505/,Journal Article,AlphaFold2; Conformational changes; Protein structures; Structure-based drug design; Structure-based virtual screening,"Computational virtual screening (VS) plays a vital role in early-stage drug discovery by enabling the efficient selection of candidate compounds and reducing associated costs. However, the absence of experimentally determined three-dimensional protein structures often limits the applicability of structure-based VS. Advances in protein structure prediction, notably AlphaFold2, have begun to address this gap. Yet, studies indicate that direct use of AlphaFold2-predicted structures often leads to suboptimal VS performance-likely because these structures fail to capture ligand-induced conformational changes (apo-to-holo transitions). To overcome this, we propose an approach that explores and modifies the structural space of AlphaFold2 predictions to generate conformations more amenable to VS. Our method deliberately alters the multiple sequence alignment (MSA) by introducing alanine mutations at key residues in the ligand-binding site, thereby inducing significant conformational shifts. The exploration process is guided by iterative ligand docking simulations, with mutation strategies optimized either by a genetic algorithm or via random search. Our evaluation shows that when sufficient active compounds are available, the genetic algorithm significantly enhances VS accuracy. In contrast, with limited active compound data, a random search strategy proves more effective. Moreover, our approach is particularly promising for targets that yield poor screening results when using experimentally determined structures from the PDB. Overall, these findings underscore the practical utility of modified AlphaFold2-derived structures in VS and expand the potential of computationally predicted protein models in drug discovery."
FlowDock: Geometric flow matching for generative protein-ligand docking and affinity prediction.,Morehead Alex; Cheng Jianlin,"Bioinformatics (Oxford, England)",2025,In Vitro (Biochemical),,5,AF structure used for docking/screening; docking on AF structure; AF2/AF3 mentioned; AF2/AF3/Multimer mentioned,40662794,10.1093/bioinformatics/btaf187,https://pubmed.ncbi.nlm.nih.gov/40662794/,Journal Article,Ligands; Molecular Docking Simulation; Proteins; Protein Binding; Software; Binding Sites; Algorithms; Drug Discovery,"MOTIVATION: Powerful generative AI models of protein-ligand structure have recently been proposed, but few of these methods support both flexible protein-ligand docking and affinity estimation. Of those that do, none can directly model multiple binding ligands concurrently or have been rigorously benchmarked on pharmacologically relevant drug targets, hindering their widespread adoption in drug discovery efforts. RESULTS: In this work, we propose FlowDock, the first deep geometric generative model based on conditional flow matching (CFM) that learns to directly map unbound (apo) structures to their bound (holo) counterparts for an arbitrary number of binding ligands. Furthermore, FlowDock provides predicted structural confidence scores and binding affinity values with each of its generated protein-ligand complex structures, enabling fast virtual screening of new (multi-ligand) drug targets. For the well-known PoseBusters Benchmark dataset, FlowDock outperforms single-sequence AlphaFold 3 (AF3) with a 51% blind docking success rate using unbound (apo) protein input structures and without any information derived from multiple sequence alignments, and for the challenging new DockGen-E dataset, FlowDock outperforms single-sequence AF3 and matches single-sequence Chai-1 for binding pocket generalization. Additionally, in the ligand category of the 16th community-wide Critical Assessment of Techniques for Structure Prediction, FlowDock ranked among the top-5 methods for pharmacological binding affinity estimation across 140 protein-ligand complexes, demonstrating the efficacy of its learned representations in virtual screening. AVAILABILITY AND IMPLEMENTATION: Source code, data, and pre-trained models are available at https://github.com/BioinfoMachineLearning/FlowDock."
